FW_TILED,1024,32,0.8258
FW_TILED,2048,32,6.3034
FW_TILED,4096,32,51.7287
FW_TILED,1024,64,0.6615
FW_TILED,2048,64,5.0507
FW_TILED,4096,64,40.1717
FW_TILED,1024,128,0.6748
FW_TILED,2048,128,4.6933
FW_TILED,4096,128,36.4927
FW_TILED,1024,32,0.4524
FW_TILED,2048,32,3.2207
FW_TILED,4096,32,26.1812
FW_TILED,1024,64,0.3613
FW_TILED,2048,64,2.5620
FW_TILED,4096,64,21.2334
FW_TILED,1024,128,0.4337
FW_TILED,2048,128,2.5323
FW_TILED,4096,128,18.6367
FW_TILED,1024,32,0.2859
FW_TILED,2048,32,1.7218
FW_TILED,4096,32,13.2879
FW_TILED,1024,64,0.2084
FW_TILED,2048,64,1.4132
FW_TILED,4096,64,10.5058
FW_TILED,1024,128,0.3119
FW_TILED,2048,128,1.6053
FW_TILED,4096,128,9.7988
FW_TILED,1024,32,0.1580
FW_TILED,2048,32,0.9551
FW_TILED,4096,32,6.9008
FW_TILED,1024,64,0.1391
FW_TILED,2048,64,0.7762
FW_TILED,4096,64,5.8593
FW_TILED,1024,128,0.2836
FW_TILED,2048,128,0.9984
FW_TILED,4096,128,5.3856
FW_TILED,1024,32,0.1371
FW_TILED,2048,32,0.5528
FW_TILED,4096,32,3.9892
FW_TILED,1024,64,0.1339
FW_TILED,2048,64,0.6089
FW_TILED,4096,64,3.1770
FW_TILED,1024,128,0.2845
FW_TILED,2048,128,0.8766
FW_TILED,4096,128,3.6945
FW_TILED,1024,32,0.1566
FW_TILED,2048,32,0.5556
FW_TILED,4096,32,3.5329
FW_TILED,1024,64,0.1329
FW_TILED,2048,64,0.5894
FW_TILED,4096,64,2.8406
FW_TILED,1024,128,0.2997
FW_TILED,2048,128,0.7440
FW_TILED,4096,128,3.3072
FW_TILED,1024,32,0.2938
FW_TILED,2048,32,0.6919
FW_TILED,4096,32,2.2158
FW_TILED,1024,64,0.2072
FW_TILED,2048,64,0.5517
FW_TILED,4096,64,1.9700
FW_TILED,1024,128,0.3384
FW_TILED,2048,128,0.8386
FW_TILED,4096,128,2.6419
